id,subject,content,hs_ticket_priority,hs_pipeline_stage,hs_ticket_category,hubspot_owner_id,createdate,hs_lastmodifieddate,closed_date,source_type
261046097112,#0003 - Assistance demandée - Indonesie,Je suis Sari Wijaya (sari.wijaya@indonesiafinance.co.id) - Tél: +622345678901 de Indonesie. Problème urgent à traiter.,MEDIUM,4,,,2025-09-14T06:50:43.174Z,2025-10-27T06:50:46.985Z,2025-09-18T06:50:43.174Z,EMAIL
261053302995,#0026 - Question facturation - budi.santoso@indonesiatech.co.id,Question de Budi Santoso (budi.santoso@indonesiatech.co.id) de Indonesie. Renseignement demandé.,HIGH,4,,,2025-08-11T06:39:57.083Z,2025-10-27T06:40:00.060Z,2025-08-19T06:39:57.083Z,EMAIL
261053302997,#0045 - Question de Yousef Al-Remeithi sur le service,Message de Yousef Al-Remeithi (yousef.alremeithi@dubaitech.ae) de UAE. Question technique à résoudre.,HIGH,4,,,2025-05-11T06:40:23.483Z,2025-10-27T06:40:26.706Z,2025-05-13T06:40:23.483Z,FORM
261053303005,#0062 - Support UAE - Fatima Al-Kaabi,Demande de support de Fatima Al-Kaabi de UAE. Problème urgent à traiter.,HIGH,4,,,2025-01-20T07:40:46.979Z,2025-10-27T06:40:50.516Z,2025-02-02T07:40:46.979Z,PHONE
261053303007,#0068 - Support Senegal - Aminata Ndiaye,"Bonjour, je suis Aminata Ndiaye de Senegal. J'ai besoin d'assistance concernant mon compte.",HIGH,4,,,2025-08-09T06:40:54.929Z,2025-10-27T06:40:59.244Z,2025-08-24T06:40:54.929Z,CHAT
261053304057,#0034 - Bug application - Mexique,Je suis Maria Gonzalez (maria.gonzalez@mexicohealth.com.mx) - Tél: +522345678901 de Mexique. Question technique à résoudre.,HIGH,4,,,2025-07-03T06:51:26.156Z,2025-10-27T06:51:30.919Z,2025-07-04T06:51:26.156Z,FORM
261053305019,#0038 - Assistance demandée - Chili,"Bonjour, Je suis Marcelo Gonzalez (marcelo.gonzalez@santiagotech.cl) - Tél: +56345678901 de Chili. J'ai besoin d'assistance concernant mon compte.",HIGH,4,,,2025-07-12T06:51:31.644Z,2025-10-27T06:51:35.181Z,2025-08-08T06:51:31.644Z,PHONE
261060201709,#005 - Bug application,Problème urgent affectant mon activité professionnelle.,LOW,4,,,2025-08-25T15:10:46.351Z,2025-10-25T15:10:50.182Z,2025-08-27T15:10:46.351Z,FORM
261078484162,#0023 - Question de Ahmad Ibrahim sur le service,Demande de support de Ahmad Ibrahim de Malaise. Problème urgent à traiter.,HIGH,4,,,2025-01-03T07:39:52.820Z,2025-10-27T06:39:56.765Z,2025-01-18T07:39:52.820Z,PHONE
261078485209,#0001 - Problème technique,Demande de support de Pakistan. Je suis Zainab Ali (zainab.ali@islamabadtech.pk) - Tél: +924567890123.,HIGH,3,,,2025-05-29T06:50:40.403Z,2025-10-27T06:50:44.657Z,,FORM
